iter	RMSE
0	0.552118415
1	0.5277048676
2	0.5049330415
3	0.4843674042
4	0.4630899216
5	0.4434855279
6	0.4247910088
7	0.4071086803
8	0.3904093387
9	0.375177937
10	0.3608640525
11	0.3469580004
12	0.3337640928
13	0.3220275427
14	0.3113933655
15	0.3006824039
16	0.2906503407
17	0.2816785978
18	0.2730080885
19	0.2646881329
20	0.2580012714
21	0.2509790544
22	0.2448777954
23	0.2393035159
24	0.2338737223
25	0.2284452778
26	0.2233771125
27	0.2186815673
28	0.2147070685
29	0.2109562167
30	0.207733757
31	0.2045463009
32	0.2015003651
33	0.1989811866
34	0.1965868319
35	0.1943142136
36	0.1921313129
37	0.1902267805
38	0.1882430661
39	0.1864128393
40	0.1848802954
41	0.1836438736
42	0.1822412902
43	0.1812077271
44	0.1801974435
45	0.1792508431
46	0.1783870944
47	0.1777452537
48	0.1768832445
49	0.1761813477
50	0.1755554486
51	0.1749311893
52	0.1744110303
53	0.1739930823
54	0.173483419
55	0.1730321753
56	0.1727367299
57	0.1723752627
58	0.1720494098
59	0.1717517055
60	0.1714378105
61	0.1711357362
62	0.1709057535
63	0.1707567775
64	0.1704924894
65	0.1702558439
66	0.1700465826
67	0.1698944515
68	0.169765277
69	0.16961152
70	0.1694465573
71	0.1692946231
72	0.1691867147
73	0.1690714561
74	0.1689760533
75	0.1688498798
76	0.1687661784
77	0.1686517083
78	0.1685465369
79	0.168447665
80	0.168374088
81	0.1682722079
82	0.1682132892
83	0.1681845497
84	0.1681133283
85	0.1680558175
86	0.1679982557
87	0.1679517086
88	0.1678888383
89	0.167827434
90	0.1677702516
91	0.1677050606
92	0.1676821542
93	0.16764327
94	0.1675996029
95	0.1675269834
96	0.1674806361
97	0.1674345254
98	0.1673858734
99	0.1673131408
100	0.1672784014
101	0.1672280747
102	0.167184638
103	0.1671687703
104	0.1671649827
105	0.1671095987
106	0.1670673907
107	0.166997519
108	0.1669612078
109	0.1669234886
110	0.1668771146
111	0.1668535074
112	0.1668223142
113	0.1667606814
114	0.1667375361
115	0.1666868182
116	0.1666473215
117	0.1666140274
118	0.1665801273
119	0.1665693064
120	0.1665515809
121	0.1665005081
122	0.1664896595
