iter	Passed	Remaining
0	51	51905
1	52	26272
2	53	17740
3	53	13404
4	54	10839
5	55	9121
6	55	7902
7	56	6994
8	57	6278
9	57	5708
10	58	5241
11	59	4858
12	59	4528
13	60	4253
14	60	3999
15	61	3781
16	62	3591
17	62	3423
18	63	3274
19	64	3141
20	64	3010
21	65	2898
22	65	2795
23	66	2703
24	67	2620
25	67	2542
26	68	2469
27	69	2401
28	70	2344
29	70	2282
30	71	2225
31	71	2171
32	72	2122
33	73	2075
34	73	2029
35	74	1987
36	74	1947
37	75	1909
38	75	1872
39	76	1836
40	77	1802
41	77	1769
42	78	1739
43	78	1708
44	79	1680
45	79	1653
46	80	1626
47	80	1600
48	81	1577
49	81	1555
50	82	1534
51	83	1514
52	83	1494
53	84	1475
54	84	1457
55	85	1440
56	85	1422
57	86	1405
58	87	1388
59	87	1373
60	88	1358
61	88	1342
62	89	1327
63	89	1310
64	90	1296
65	90	1283
66	91	1269
67	91	1258
68	92	1245
69	92	1233
70	93	1222
71	93	1211
72	94	1199
73	95	1189
74	95	1178
75	96	1168
76	96	1158
77	97	1150
78	97	1140
79	98	1131
80	98	1122
81	99	1114
82	100	1106
83	100	1096
84	101	1088
85	101	1083
86	102	1076
87	103	1068
88	103	1060
89	104	1053
90	104	1046
91	105	1040
92	105	1032
93	106	1026
94	106	1019
95	107	1012
96	108	1006
97	108	999
98	109	993
99	109	986
100	110	980
101	110	974
102	111	968
103	111	962
104	112	954
105	112	949
106	113	944
107	113	938
108	114	933
109	114	928
110	115	923
111	115	918
112	116	913
113	116	908
114	117	903
115	118	900
116	118	896
117	119	893
118	120	890
119	120	886
120	121	882
121	122	879
122	122	875
123	123	872
124	123	867
125	124	865
126	125	861
127	126	858
128	126	855
129	127	851
130	128	849
131	128	844
132	129	841
133	129	839
134	130	836
135	131	834
136	131	831
137	132	829
138	133	825
139	134	823
140	134	821
141	135	817
142	135	814
143	136	811
144	137	808
145	137	805
146	138	802
147	138	799
148	139	797
149	140	794
150	140	792
151	141	789
152	141	785
153	142	782
154	143	779
155	143	777
156	144	774
157	144	771
158	145	768
159	145	766
160	146	763
161	147	761
162	148	760
163	148	758
164	149	756
165	150	754
166	150	752
167	151	750
168	152	747
169	152	744
170	153	742
171	153	740
172	154	738
173	155	736
174	155	734
175	156	733
176	157	731
177	157	729
178	158	727
179	159	724
180	159	722
181	160	721
182	161	719
183	161	717
184	162	716
185	163	714
186	163	711
187	164	709
188	164	706
189	165	705
190	166	703
191	167	703
192	167	701
193	168	699
194	169	697
195	169	695
196	170	694
197	170	692
198	171	691
199	172	689
200	172	687
201	173	685
202	174	683
203	174	681
204	175	680
205	176	679
206	177	678
207	177	676
208	178	674
209	179	673
210	179	671
211	180	670
212	181	669
213	181	667
214	182	665
215	182	664
216	183	662
217	184	660
218	184	658
219	185	657
220	186	656
221	186	654
222	187	653
223	188	651
224	188	649
225	189	647
226	189	646
227	190	644
228	191	643
229	191	642
230	192	640
231	193	639
232	193	638
233	194	637
234	195	636
235	196	635
236	197	634
237	197	633
238	198	631
239	199	630
240	199	629
241	200	628
242	201	627
243	201	625
244	202	624
245	203	622
246	203	621
247	204	619
248	205	618
249	205	617
250	206	616
251	207	614
252	207	613
253	208	611
254	208	610
255	209	609
256	210	608
257	211	607
258	211	606
259	212	605
260	213	604
261	214	603
262	215	602
263	215	601
264	216	600
265	217	599
266	218	598
267	218	597
268	219	596
269	220	595
270	220	594
271	221	592
272	222	592
273	222	590
274	223	589
275	224	588
276	225	587
277	225	586
278	226	585
279	227	584
280	227	583
281	228	581
282	229	580
283	229	578
284	230	577
285	230	575
286	231	573
287	231	572
288	231	570
289	232	569
290	232	567
291	233	565
292	233	564
293	234	563
294	235	562
295	235	560
296	236	559
297	236	557
298	237	556
299	237	554
300	238	553
301	238	552
302	239	550
303	239	548
304	240	547
305	240	545
306	241	544
307	241	542
308	242	541
309	242	539
310	243	538
311	243	537
312	244	535
313	244	534
314	244	532
315	245	531
316	246	530
317	246	529
318	247	527
319	247	526
320	248	525
321	248	523
322	249	522
323	249	521
324	250	519
325	250	518
326	251	517
327	251	516
328	252	514
329	252	513
330	253	512
331	253	510
