text,label
Мещеряков Кирилл Андреевич,1
Данилов Александр Владимирович,1
Антипов Александр Егорович,1
Ширяев Матвей Никитич,1
Филатов Даниэль Георгиевич,1
Козлов Серафим Арсентьевич,1
Казаков Дмитрий Иванович,1
Покровский Алексей Никитич,1
Владимиров Кирилл Ильич,1
Скворцов Владислав Дамирович,1
Зайцев Владимир Иванович,1
Крюков Владислав Иванович,1
Дроздов Максим Адамович,1
Белов Максим Игоревич,1
Спиридонов Кирилл Антонович,1
Токарев Евгений Владимирович,1
Лосев Михаил Фёдорович,1
Крюков Матвей Кириллович,1
Матвеев Никита Львович,1
Фетисов Илья Ильич,1
Александров Даниил Дмитриевич,1
Федоров Николай Борисович,1
Никитин Леон Артёмович,1
Козловский Артём Романович,1
Гаврилов Ибрагим Константинович,1
Поляков Георгий Романович,1
Лебедев Серафим Тимофеевич,1
Григорьев Макар Кириллович,1
Дубов Степан Фёдорович,1
Власов Иван Львович,1
Румянцев Никита Павлович,1
Кудряшов Арсений Владимирович,1
Федоров Илья Максимович,1
Григорьев Михаил Иванович,1
Константинов Иван Матвеевич,1
Дмитриев Иван Иванович,1
Емельянов Григорий Миронович,1
Филиппов Александр Львович,1
Добрынин Константин Ильич,1
Лебедев Дмитрий Георгиевич,1
Зайцев Глеб Александрович,1
Назаров Савелий Дамирович,1
Волков Артём Тимурович,1
Воробьев Фёдор Ярославович,1
Морозов Роман Иванович,1
Богданов Евгений Сергеевич,1
Бабушкин Даниил Даниилович,1
Романов Мирослав Павлович,1
Юдин Денис Львович,1
Романов Игорь Святославович,1
Кочетов Лев Филиппович,1
Леонов Даниэль Денисович,1
Новиков Марк Михайлович,1
Афанасьев Кирилл Львович,1
Судаков Илья Давидович,1
Соловьев Кирилл Артёмович,1
Сергеев Артём Артемьевич,1
Чеботарев Артём Ильич,1
Павлов Лука Константинович,1
Митрофанов Максим Эрикович,1
Богомолов Матвей Кириллович,1
Сизов Артём Александрович,1
Попов Алексей Тимурович,1
Сидоров Андрей Даниилович,1
Суслов Владислав Михайлович,1
Ульянов Тихон Савельевич,1
Степанов Арсений Дмитриевич,1
Алексеев Никита Романович,1
Матвеев Георгий Артёмович,1
Кузнецов Леонид Кириллович,1
Бородин Борис Викторович,1
Соколов Матвей Иванович,1
Щукин Андрей Максимович,1
Софронов Денис Матвеевич,1
Молчанов Иван Максимович,1
Меркулов Павел Арсентьевич,1
Чернов Дмитрий Егорович,1
Миронов Константин Александрович,1
Васильев Даниил Алексеевич,1
Раков Артём Янович,1
Овсянников Святослав Сергеевич,1
Симонов Артём Александрович,1
Еремин Глеб Игоревич,1
Никитин Артём Георгиевич,1
Москвин Кирилл Артёмович,1
Колосов Юрий Данилович,1
Иванов Артемий Даниилович,1
Макаров Никита Маркович,1
Литвинов Даниил Степанович,1
Грибов Дмитрий Матвеевич,1
Кириллов Марсель Максимович,1
Соболев Макар Максимович,1
Казаков Дмитрий Матвеевич,1
Сафонов Иван Артёмович,1
Воробьев Артём Дмитриевич,1
Игнатов Максим Егорович,1
Токарев Артём Саввич,1
Иванов Михаил Александрович,1
Богданов Роман Ярославович,1
Попов Гордей Артёмович,1
Маслов Артём Михайлович,1
Захаров Денис Артёмович,1
Максимов Артём Егорович,1
Богомолов Макар Фёдорович,1
Кольцов Павел Робертович,1
Волков Дмитрий Савельевич,1
Савин Фёдор Артёмович,1
Свешников Кирилл Романович,1
Поликарпов Евгений Богданович,1
Карпов Мирон Максимович,1
Воронов Максим Никитич,1
Васильев Степан Тимофеевич,1
Лаптев Иван Артёмович,1
Киреев Демид Арсентьевич,1
Ширяев Александр Данилович,1
Кондратов Максим Дмитриевич,1
Зубков Константин Романович,1
Климов Юрий Ибрагимович,1
Воробьев Дмитрий Алексеевич,1
Новиков Дмитрий Робертович,1
Гусев Дмитрий Юрьевич,1
Федоров Мирон Владиславович,1
Андреев Кирилл Артёмович,1
Болдырев Артём Иванович,1
Уваров Дмитрий Михайлович,1
Лебедев Леонид Маркович,1
Кононов Дмитрий Михайлович,1
Минаев Юрий Даниилович,1
Коновалов Платон Ильич,1
Мальцев Даниил Дмитриевич,1
Быков Егор Петрович,1
Казаков Артём Владимирович,1
Федотов Павел Платонович,1
Козин Максим Миронович,1
Розанов Андрей Егорович,1
Сухов Марк Дмитриевич,1
Виноградов Игорь Владимирович,1
Савельев Владислав Тимофеевич,1
Цветков Матвей Никитич,1
Румянцев Матвей Максимович,1
Горшков Александр Даниилович,1
Князев Платон Александрович,1
Майоров Роман Фёдорович,1
Соловьев Илья Кириллович,1
Горбачев Фёдор Львович,1
Морозов Максим Александрович,1
Бобров Денис Иванович,1
Киселев Максим Ярославович,1
Козлов Давид Глебович,1
